"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 18 18:37:24 UTC 2026","Sat Apr 18 18:37:24 UTC 2026","238","Ecommerce Suite","Home Page Test","com.store.tests.HomeTest","com.store.tests.HomeTest","verifyLoginWithEvidence","verifyLoginWithEvidence","Verify that the register link is displayed on the home page"
"passed","Sat Apr 18 18:37:44 UTC 2026","Sat Apr 18 18:37:45 UTC 2026","1244","Ecommerce Suite","Login Page Test","com.store.tests.LoginTest","com.store.tests.LoginTest","doLoginTestWithDataProvider","doLoginTestWithDataProvider","Verify that the user can login successfully with valid credentials"
"skipped","Sat Apr 18 18:37:43 UTC 2026","Sat Apr 18 18:37:43 UTC 2026","2","Ecommerce Suite","Register Page Test","com.store.tests.RegisterTest","com.store.tests.RegisterTest","verifyUserCannotRegisterWithMissingData","verifyUserCannotRegisterWithMissingData","Verify that the user cannot register with missing data"
"failed","Sat Apr 18 18:37:38 UTC 2026","Sat Apr 18 18:37:39 UTC 2026","1288","Ecommerce Suite","Register Page Test","com.store.tests.RegisterTest","com.store.tests.RegisterTest","verifyUserCannotRegisterWithInvalidEmail","verifyUserCannotRegisterWithInvalidEmail","Verify that the user cannot register with invalid email"
"passed","Sat Apr 18 18:37:29 UTC 2026","Sat Apr 18 18:37:30 UTC 2026","1754","Ecommerce Suite","Register Page Test","com.store.tests.RegisterTest","com.store.tests.RegisterTest","fillOutFormWithFakeDataDoNotCheckTheTermsAndConditions","fillOutFormWithFakeDataDoNotCheckTheTermsAndConditions","Complete the form with false information, do not check the terms and conditions"
"passed","Sat Apr 18 18:37:25 UTC 2026","Sat Apr 18 18:37:25 UTC 2026","120","Ecommerce Suite","Home Page Test","com.store.tests.HomeTest","com.store.tests.HomeTest","verifyMainLogo","verifyMainLogo","Verifique que el logotipo principal se muestre en la página de inicio."
"passed","Sat Apr 18 18:37:40 UTC 2026","Sat Apr 18 18:37:42 UTC 2026","1409","Ecommerce Suite","Register Page Test","com.store.tests.RegisterTest","com.store.tests.RegisterTest","verifyUserCannotRegisterWithMismatchPassword","verifyUserCannotRegisterWithMismatchPassword","Verify that the user cannot register with mismatch password"
"broken","Sat Apr 18 18:38:42 UTC 2026","Sat Apr 18 18:38:52 UTC 2026","10371","Ecommerce Suite","Cart Page Test","com.store.tests.CartTest","com.store.tests.CartTest","verifyCartTotalCalculation","verifyCartTotalCalculation","Verify that the cart total calculation is correct"
"passed","Sat Apr 18 18:37:31 UTC 2026","Sat Apr 18 18:37:33 UTC 2026","1699","Ecommerce Suite","Register Page Test","com.store.tests.RegisterTest","com.store.tests.RegisterTest","verifyUserCanRegisterSuccessfully","verifyUserCanRegisterSuccessfully","Verify that the user can register successfully"
"broken","Sat Apr 18 18:38:08 UTC 2026","Sat Apr 18 18:38:19 UTC 2026","10359","Ecommerce Suite","Cart Page Test","com.store.tests.CartTest","com.store.tests.CartTest","verifyAddToCart","verifyAddToCart","Verify that adding items to the cart works correctly"
"passed","Sat Apr 18 18:37:26 UTC 2026","Sat Apr 18 18:37:28 UTC 2026","1780","Ecommerce Suite","Home Page Test","com.store.tests.HomeTest","com.store.tests.HomeTest","verifyTopHeaderMenu","verifyTopHeaderMenu","Verify that the top header menu options are displayed on the home page"
"passed","Sat Apr 18 18:37:22 UTC 2026","Sat Apr 18 18:37:23 UTC 2026","50","Ecommerce Suite","Home Page Test","com.store.tests.HomeTest","com.store.tests.HomeTest","verifyInputSearch","verifyInputSearch","Verifique que el campo de búsqueda se muestre en la página principal."
